date,views,title
2018-08-17,4644,Chess
2018-08-18,4553,Chess
2018-08-19,5734,Chess
2018-08-20,4737,Chess
2018-08-21,4766,Chess
2018-08-22,5017,Chess
2018-08-23,4877,Chess
2018-08-24,4468,Chess
2018-08-25,4374,Chess
2018-08-26,4981,Chess
2018-08-27,4728,Chess
2018-08-28,4829,Chess
2018-08-29,5185,Chess
2018-08-30,4644,Chess
2018-08-31,4170,Chess
2018-09-01,4249,Chess
2018-09-02,6540,Chess
2018-09-03,4938,Chess
2018-09-04,4313,Chess
2018-09-05,4232,Chess
2018-09-06,4414,Chess
2018-09-07,4454,Chess
2018-09-08,4382,Chess
2018-09-09,4881,Chess
2018-09-10,4297,Chess
2018-09-11,4548,Chess
2018-09-12,4506,Chess
2018-09-13,4514,Chess
2018-09-14,4293,Chess
2018-09-15,4428,Chess
2018-09-16,5207,Chess
2018-09-17,4975,Chess
2018-09-18,4044,Chess
2018-09-19,3930,Chess
2018-09-20,4114,Chess
2018-09-21,4192,Chess
2018-09-22,4248,Chess
2018-09-23,4304,Chess
2018-09-24,4254,Chess
2018-09-25,4314,Chess
2018-09-26,4291,Chess
2018-09-27,4325,Chess
2018-09-28,3974,Chess
2018-09-29,4877,Chess
2018-09-30,4234,Chess
2018-10-01,4195,Chess
2018-10-02,4419,Chess
2018-10-03,4868,Chess
2018-10-04,4446,Chess
2018-10-05,4082,Chess
2018-10-06,3848,Chess
2018-10-07,4487,Chess
2018-10-08,5685,Chess
2018-10-09,4948,Chess
2018-10-10,4755,Chess
2018-10-11,5055,Chess
2018-10-12,4383,Chess
2018-10-13,4047,Chess
2018-10-14,4439,Chess
2018-10-15,5265,Chess
2018-10-16,5026,Chess
2018-10-17,4956,Chess
2018-10-18,4653,Chess
2018-10-19,4292,Chess
2018-10-20,4365,Chess
2018-10-21,5278,Chess
2018-10-22,5261,Chess
2018-10-23,4723,Chess
2018-10-24,4583,Chess
2018-10-25,4778,Chess
2018-10-26,4548,Chess
2018-10-27,4179,Chess
2018-10-28,4630,Chess
2018-10-29,4463,Chess
2018-10-30,4414,Chess
2018-10-31,4224,Chess
2018-11-01,4392,Chess
2018-11-02,4301,Chess
2018-11-03,4130,Chess
2018-11-04,4786,Chess
2018-11-05,4168,Chess
2018-11-06,4578,Chess
2018-11-07,4121,Chess
2018-11-08,4514,Chess
2018-11-09,4971,Chess
2018-11-10,4883,Chess
2018-11-11,4730,Chess
2018-11-12,5168,Chess
2018-11-13,5413,Chess
2018-11-14,5104,Chess
2018-11-15,5682,Chess
2018-11-16,5343,Chess
2018-11-17,4961,Chess
2018-11-18,5675,Chess
2018-11-19,5488,Chess
2018-11-20,5111,Chess
2018-11-21,5758,Chess
2018-11-22,5570,Chess
2018-11-23,5148,Chess
2018-11-24,4943,Chess
2018-11-25,5700,Chess
2018-11-26,6080,Chess
2018-11-27,8860,Chess
2018-11-28,7664,Chess
2018-11-29,7436,Chess
2018-11-30,6031,Chess
2018-12-01,5007,Chess
2018-12-02,5616,Chess
2018-12-03,5690,Chess
2018-12-04,5779,Chess
2018-12-05,5522,Chess
2018-12-06,5230,Chess
2018-12-07,5151,Chess
2018-12-08,5750,Chess
2018-12-09,4960,Chess
2018-12-10,5093,Chess
2018-12-11,5091,Chess
2018-12-12,4858,Chess
2018-12-13,4832,Chess
2018-12-14,4150,Chess
2018-12-15,4200,Chess
2018-12-16,4814,Chess
2018-12-17,4569,Chess
2018-12-18,4701,Chess
2018-12-19,4623,Chess
2018-12-20,4667,Chess
2018-12-21,5371,Chess
2018-12-22,4720,Chess
2018-12-23,4459,Chess
2018-12-24,4739,Chess
2018-12-25,5307,Chess
2018-12-26,5266,Chess
2018-12-27,5379,Chess
2018-12-28,5032,Chess
2018-12-29,4712,Chess
2018-12-30,4829,Chess
2018-12-31,4376,Chess
2019-01-01,4571,Chess
2019-01-02,5863,Chess
2019-01-03,5364,Chess
2019-01-04,4903,Chess
2019-01-05,5002,Chess
2019-01-06,5635,Chess
2019-01-07,5257,Chess
2019-01-08,5470,Chess
2019-01-09,5140,Chess
2019-01-10,5158,Chess
2019-01-11,5029,Chess
2019-01-12,4826,Chess
2019-01-13,5419,Chess
2019-01-14,5677,Chess
2019-01-15,5448,Chess
2019-01-16,5728,Chess
2019-01-17,5836,Chess
2019-01-18,5664,Chess
2019-01-19,7560,Chess
2019-01-20,6051,Chess
2019-01-21,5276,Chess
2019-01-22,5103,Chess
2019-01-23,5401,Chess
2019-01-24,5220,Chess
2019-01-25,4725,Chess
2019-01-26,4474,Chess
2019-01-27,5332,Chess
2019-01-28,5062,Chess
2019-01-29,5097,Chess
2019-01-30,4986,Chess
2019-01-31,4881,Chess
2019-02-01,4725,Chess
2019-02-02,4661,Chess
2019-02-03,5446,Chess
2019-02-04,5040,Chess
2019-02-05,5046,Chess
2019-02-06,5109,Chess
2019-02-07,5653,Chess
2019-02-08,4624,Chess
2019-02-09,4540,Chess
2019-02-10,5336,Chess
2019-02-11,5331,Chess
2019-02-12,5215,Chess
2019-02-13,4857,Chess
2019-02-14,5047,Chess
2019-02-15,4716,Chess
2019-02-16,4831,Chess
2019-02-17,4836,Chess
2019-02-18,4807,Chess
2019-02-19,5043,Chess
2019-02-20,4910,Chess
2019-02-21,4803,Chess
2019-02-22,4593,Chess
2019-02-23,4866,Chess
2019-02-24,5354,Chess
2019-02-25,5199,Chess
2019-02-26,4886,Chess
2019-02-27,5988,Chess
2019-02-28,4705,Chess
2019-03-01,4464,Chess
2019-03-02,4540,Chess
2019-03-03,4624,Chess
2019-03-04,4768,Chess
2019-03-05,4580,Chess
2019-03-06,4487,Chess
2019-03-07,4421,Chess
2019-03-08,4520,Chess
